event,event_type
Weight throw,Throwing
Triple jump,Jumping
Triathlon,Multisport
Standing triple jump,Jumping
Standing long jump,Jumping
Standing high jump,Jumping
Shot put (two-handed),Throwing
Shot put,Throwing
Pole vault,Jumping
Pentathlon,Multisport
Marathon,Running
Long jump,Jumping
Javelin throw (two-handed),Throwing
Javelin throw (freestyle),Throwing
Javelin throw,Throwing
High jump,Jumping
Heptathlon,Multisport
Hammer throw,Throwing
Discus throw (two-handed),Throwing
Discus throw (Greek style),Throwing
Discus throw,Throwing
Decathlon,Multisport
Cross country (team),Running
Cross country (individual),Running
5000 metres team race,Running
5000 metres,Running
4000 metres steeplechase,Running
3500 metres walk,Walking
3200 metres steeplechase,Running
3000 metres walk,Walking
3000 metres team race,Running
3000 metres steeplechase,Running
3000 metres,Running
2590 metres steeplechase,Running
2500 metres steeplechase,Running
1600 metres relay,Running
1500 metres,Running
800 metres,Running
400 metres hurdles,Running
400 metres,Running
200 metres hurdles,Running
200 metres,Running
110 metres hurdles,Running
100 metres hurdles,Running
100 metres,Running
80 metres hurdles,Running
60 metres,Running
50 kilometres race walk,Walking
20 kilometres race walk,Walking
"10,000 metres",Running
10 miles walk,Walking
10 kilometres walk,Walking
10 kilometers race walk,Walking
5 miles,Running
4-mile team race,Running
4 × 400 metres relay,Running
4 × 100 metres relay,Running
3-mile team race,Running
