Year,Level,Path,Distance,Value
1896,1,1,2,0.0125
1896,1,362,3,0.0125
1900,2,1,3,0.0125
1900,2,362,4,0.0125
1904,3,1,4,0.0125
1904,3,362,5,0.0125
1908,4,1,5,0.0125
1908,4,362,6,0.0125
1912,5,1,6,0.0125
1912,5,362,7,0.0125
1920,6,1,7,0.0125
1920,6,362,8,0.0125
1924,7,1,8,0.0125
1924,7,362,9,0.0125
1928,8,1,9,0.0125
1928,8,362,10,0.0125
1932,9,1,10,0.0125
1932,9,362,11,0.0125
1936,10,1,11,0.0125
1936,10,362,12,0.0125
1948,11,1,12,0.0125
1948,11,362,13,0.0125
1952,12,1,13,0.0125
1952,12,362,14,0.0125
1956,13,1,14,0.0125
1956,13,362,15,0.0125
1960,14,1,15,0.0125
1960,14,362,16,0.0125
1964,15,1,16,0.0125
1964,15,362,17,0.0125
1968,16,1,17,0.0125
1968,16,362,18,0.0125
1972,17,1,18,0.0125
1972,17,362,19,0.0125
1976,18,1,19,0.0125
1976,18,362,20,0.0125
1980,19,1,20,0.0125
1980,19,362,21,0.0125
1984,20,1,21,0.0125
1984,20,362,22,0.0125
1988,21,1,22,0.0125
1988,21,362,23,0.0125
1992,22,1,23,0.0125
1992,22,362,24,0.0125
1996,23,1,24,0.0125
1996,23,362,25,0.0125
2000,24,1,25,0.0125
2000,24,362,26,0.0125
2004,25,1,26,0.0125
2004,25,362,27,0.0125
2008,26,1,27,0.0125
2008,26,362,28,0.0125
2012,27,1,28,0.0125
2012,27,362,29,0.0125
2016,28,1,29,0.0125
2016,28,362,30,0.0125
